date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:08:21	26477/26477	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Nov%202020%2004:38:46%20GMT	https://ilrm9.csb.app/	C:/My%20Web%20Sites/scanner1/ilrm9.csb.app/index.html	(from )
10:08:21	42/42	---MCZ	200	added ('OK')	text/plain	etag:W/%225fa53562-16%22	https://ilrm9.csb.app/robots.txt		(from )
10:08:25	16921/16921	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fa13891-4219%22	https://codesandbox.io/static/js/vendors~app~embed~sandbox-startup.10f5f18b4.chunk.js	C:/My%20Web%20Sites/scanner1/codesandbox.io/static/js/vendors_app_embed_sandbox-startup.10f5f18b4.chunk.js	(from https://ilrm9.csb.app/)
10:08:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Nov%202020%2004:38:56%20GMT	http://codesandbox.io/static/browserfs8/browserfs.min.js	C:/My%20Web%20Sites/scanner1/codesandbox.io/static/browserfs8/browserfs.min.2.delayed	(from https://ilrm9.csb.app/)
10:08:31	27442/27442	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fa53561-6b32%22	https://codesandbox.io/static/js/sandbox-startup.3c5563fd5.js	C:/My%20Web%20Sites/scanner1/codesandbox.io/static/js/sandbox-startup.3c5563fd5.js	(from https://ilrm9.csb.app/)
10:08:32	237509/237509	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fa53561-39fc5%22	https://codesandbox.io/static/browserfs8/browserfs.min.js	C:/My%20Web%20Sites/scanner1/codesandbox.io/static/browserfs8/browserfs.min.js	(from https://ilrm9.csb.app/)
10:08:33	566/566	---MCZ	200	added ('OK')	text/css	date:Sun,%2008%20Nov%202020%2004:38:57%20GMT	https://ilrm9.csb.app/src/styles.css	C:/My%20Web%20Sites/scanner1/ilrm9.csb.app/src/styles.css	(from https://ilrm9.csb.app/)
10:08:34	45419/45419	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2008%20Nov%202020%2004:38:59%20GMT	https://rawgit.com/sitepoint-editors/jsqrcode/master/src/qr_packed.js	C:/My%20Web%20Sites/scanner1/rawgit.com/sitepoint-editors/jsqrcode/master/src/qr_packed.js	(from https://ilrm9.csb.app/)
10:08:37	1223/1223	---MCZ	200	added ('OK')	application/json	etag:W/%225fa53562-4c7%22	https://ilrm9.csb.app/manifest.json	C:/My%20Web%20Sites/scanner1/ilrm9.csb.app/manifest.json	(from https://ilrm9.csb.app/)
10:08:46	0/0	---M--	200	added ('OK')	application/javascript	date:Sun,%2008%20Nov%202020%2004:39:10%20GMT	https://ilrm9.csb.app/src/qrCodeScanner.js	C:/My%20Web%20Sites/scanner1/ilrm9.csb.app/src/qrCodeScanner.7.delayed	(from https://ilrm9.csb.app/)
